Class%,Class_label,Encapsulation%,Encapsulation_label,Inheritance%,Inheritance_label,Polymorphism%,Polymorphism_label,Constructor%,Constructor_label,Interface%,Interface_label
99.56,Advanced,71.38,Intermediate,83.65,Advanced,6.17,Beginner,10.61,Beginner,12.6,Beginner
16.24,Beginner,29.16,Beginner,42.54,Intermediate,66.91,Advanced,89.41,Advanced,41.95,Intermediate
8.68,Beginner,16.92,Beginner,60.1,Advanced,63.14,Beginner,98.3,Advanced,63.44,Advanced
8.35,Beginner,50.95,Intermediate,59.47,Intermediate,16.05,Beginner,67.61,Advanced,55.49,Intermediate
55.28,Intermediate,48.29,Intermediate,0,Beginner,95.2,Advanced,57.71,Intermediate,55.31,Intermediate
58.71,Intermediate,16.22,Beginner,93.85,Advanced,58.82,Intermediate,29.03,Beginner,11.76,Beginner
54.53,Intermediate,41.23,Intermediate,44.24,Intermediate,64.07,Advanced,84.6,Advanced,27.19,Beginner
66.93,Advanced,62.9,Advanced,37.26,Intermediate,39.67,Intermediate,90.97,Advanced,11.7,Beginner
37.91,Intermediate,23.79,Beginner,11.14,Beginner,68.88,Advanced,63.05,Advanced,68.14,Advanced
30.87,Advanced,20.73,Beginner,29.36,Beginner,33.25,Intermediate,98.52,Advanced,17.54,Beginner
22.11,Beginner,88.62,Advanced,29.69,Beginner,16.26,Beginner,57.68,Intermediate,11.28,Beginner
78.21,Advanced,25.19,Beginner,100,Advanced,79.05,Advanced,69.47,Advanced,37.38,Intermediate
44.33,Intermediate,62.8,Beginner,41.64,Intermediate,31,Intermediate,24.93,Beginner,19.29,Beginner
64.42,Advanced,59.83,Intermediate,73.3,Advanced,38.89,Intermediate,10.54,Beginner,20.29,Beginner
35.75,Intermediate,17.36,Beginner,93.32,Advanced,30.4,Intermediate,35.74,Intermediate,10.55,Beginner
36.54,Intermediate,21.74,Beginner,16.21,Beginner,99.44,Advanced,31.06,Intermediate,18.23,Advanced
14.66,Intermediate,81.95,Advanced,78.74,Advanced,21.11,Beginner,66.16,Advanced,62.04,Advanced
76.39,Advanced,1.13,Beginner,65.68,Advanced,38.37,Intermediate,71.72,Advanced,16.06,Beginner
91.9,Advanced,47.42,Intermediate,65.73,Advanced,81.84,Advanced,39.6,Intermediate,93.13,Advanced
65.01,Advanced,16.05,Beginner,1.49,Beginner,10.18,Beginner,56.17,Intermediate,91.86,Advanced
48.02,Intermediate,35.05,Intermediate,5.91,Intermediate,22.68,Beginner,37.53,Intermediate,49.28,Intermediate
53.1,Intermediate,100,Advanced,9.81,Beginner,9.95,Advanced,93.36,Advanced,97.5,Advanced
15.1,Beginner,51.76,Intermediate,97.7,Advanced,29.02,Beginner,24.07,Beginner,36.76,Intermediate
64.85,Advanced,8.33,Beginner,13.63,Beginner,16.53,Beginner,48.71,Intermediate,48.4,Intermediate
18.69,Beginner,47.41,Intermediate,66.21,Advanced,76.15,Advanced,94.08,Advanced,93.14,Advanced
24.54,Beginner,9.08,Intermediate,58.52,Intermediate,44.16,Intermediate,30.95,Intermediate,66.01,Advanced
61.5,Advanced,0,Beginner,8.73,Beginner,48.69,Intermediate,55.61,Intermediate,14.02,Beginner
31.65,Intermediate,74.86,Advanced,9.78,Beginner,2.44,Beginner,100,Advanced,19.97,Beginner
68.04,Advanced,57.45,Intermediate,62.45,Advanced,26.17,Beginner,50.5,Intermediate,76.5,Advanced
98.97,Advanced,59.93,Intermediate,30.91,Intermediate,23.37,Beginner,99.64,Advanced,71.5,Beginner
77.72,Advanced,53.06,Intermediate,28.58,Beginner,37.6,Intermediate,59.48,Intermediate,70.98,Intermediate
11.33,Beginner,45.76,Intermediate,19.69,Beginner,27.32,Beginner,16.96,Beginner,22.8,Intermediate
9.27,Beginner,22.18,Advanced,6.56,Beginner,3.47,Beginner,26.23,Beginner,95.42,Advanced
74.7,Advanced,36.91,Intermediate,21.66,Beginner,1.14,Beginner,53.49,Intermediate,54.83,Intermediate
54.64,Intermediate,90.21,Advanced,13.49,Beginner,10.86,Beginner,15.55,Beginner,51.46,Intermediate
20.77,Beginner,51.84,Intermediate,53.4,Intermediate,76.88,Advanced,61.06,Intermediate,55.22,Intermediate
51.32,Intermediate,18.38,Beginner,18.89,Beginner,10.01,Beginner,64.5,Advanced,12.9,Beginner
9.96,Beginner,54.3,Intermediate,53.78,Intermediate,69.85,Advanced,8.71,Intermediate,57.15,Intermediate
64.29,Advanced,46.54,Intermediate,37.85,Intermediate,40.34,Intermediate,47.46,Intermediate,83.62,Advanced
86,Advanced,57.29,Intermediate,23.98,Beginner,34.21,Intermediate,92.15,Advanced,37.55,Intermediate
94.25,Advanced,85.77,Advanced,8.68,Beginner,36.04,Intermediate,89.63,Advanced,26.8,Beginner
43.25,Intermediate,28.19,Beginner,88.08,Advanced,43.45,Intermediate,24.7,Beginner,12.19,Beginner
30.55,Intermediate,27.58,Beginner,59.35,Intermediate,6.89,Beginner,60.35,Advanced,42.76,Intermediate
77.04,Advanced,91.12,Advanced,30.8,Intermediate,48.44,Intermediate,30.73,Intermediate,72.1,Beginner
19.73,Advanced,21.34,Beginner,9.16,Beginner,82.23,Advanced,17.95,Beginner,0.08,Beginner
15.11,Beginner,36.02,Intermediate,66.71,Advanced,62.68,Advanced,64.82,Advanced,35.45,Intermediate
72.37,Advanced,81.55,Advanced,56.5,Intermediate,92.33,Advanced,78.23,Advanced,35.95,Intermediate
67.8,Advanced,61.39,Advanced,5.55,Beginner,91.44,Advanced,63.55,Advanced,46.78,Intermediate
89.6,Advanced,43.09,Intermediate,48.12,Intermediate,21.59,Beginner,63.1,Advanced,48.83,Intermediate
20.61,Beginner,98.42,Advanced,89.99,Advanced,30.49,Intermediate,85.39,Advanced,66.59,Advanced
31.22,Intermediate,14.15,Beginner,9.22,Beginner,73.13,Advanced,93.54,Advanced,15.44,Beginner
24.47,Beginner,24.24,Beginner,11.73,Beginner,35.51,Intermediate,92.13,Advanced,28.44,Beginner
40.45,Intermediate,23.39,Beginner,28.64,Beginner,66.95,Advanced,58.47,Intermediate,27.85,Beginner
72.16,Advanced,45.21,Intermediate,24.74,Beginner,8.39,Beginner,58.04,Intermediate,15.87,Beginner
14.03,Beginner,74.89,Advanced,54.33,Intermediate,6.23,Beginner,89.61,Advanced,42.26,Intermediate
14.75,Beginner,37.82,Intermediate,19.02,Beginner,12.6,Beginner,31.09,Intermediate,64.02,Beginner
61.54,Intermediate,35.94,Intermediate,56.01,Intermediate,59.55,Intermediate,22.23,Beginner,19.52,Beginner
47.8,Intermediate,21.68,Intermediate,12.81,Beginner,75.5,Advanced,17.18,Beginner,61.07,Advanced
21.23,Beginner,12.06,Intermediate,14.57,Beginner,14.85,Beginner,92.53,Advanced,12.44,Beginner
80.32,Advanced,53.81,Intermediate,57.31,Intermediate,11.7,Beginner,20.46,Beginner,6.15,Beginner
5.41,Beginner,55.97,Intermediate,60.58,Advanced,100,Advanced,35.24,Intermediate,58.85,Intermediate
83.45,Advanced,7.85,Beginner,28.85,Beginner,13.03,Beginner,78.38,Advanced,25.69,Beginner
62.34,Advanced,33.32,Intermediate,90.14,Advanced,71.96,Advanced,100,Advanced,30.59,Intermediate
81.03,Advanced,91.06,Advanced,46.88,Intermediate,61.44,Advanced,61.75,Advanced,80.8,Advanced
30.93,Intermediate,81.67,Advanced,13.99,Beginner,79.72,Advanced,68.67,Advanced,80.56,Advanced
24.02,Beginner,26.63,Beginner,42.46,Intermediate,55.98,Advanced,31,Intermediate,69.08,Advanced
7.15,Beginner,76.68,Advanced,56.47,Intermediate,2.82,Beginner,17.82,Beginner,51.99,Intermediate
29.37,Beginner,42.06,Intermediate,17.51,Beginner,94.8,Advanced,37.68,Intermediate,25.68,Beginner
42.78,Intermediate,12.96,Beginner,67.83,Advanced,69.46,Advanced,95.15,Advanced,11.32,Beginner
52.49,Beginner,54.37,Intermediate,16.74,Beginner,24.49,Beginner,48.63,Intermediate,5.76,Beginner
8.25,Beginner,45.63,Intermediate,58.49,Intermediate,81.52,Advanced,5.85,Beginner,15.39,Beginner
2,Advanced,59.95,Intermediate,29.4,Beginner,50.24,Intermediate,57.41,Intermediate,66.57,Advanced
33.52,Intermediate,48.51,Intermediate,54.21,Intermediate,1.39,Beginner,88,Advanced,54.95,Intermediate
15.56,Intermediate,38.53,Intermediate,40.49,Intermediate,78.63,Advanced,98.5,Advanced,49.57,Intermediate
60.91,Advanced,26.3,Beginner,32.01,Intermediate,54.11,Intermediate,20.14,Beginner,84.49,Advanced
30.56,Intermediate,40.52,Intermediate,39.26,Intermediate,17.37,Beginner,13.04,Beginner,71.88,Advanced
69.64,Advanced,61.51,Advanced,49.56,Intermediate,61.67,Advanced,28.61,Beginner,85.32,Advanced
42.44,Intermediate,33.19,Intermediate,26.56,Beginner,27.44,Beginner,64.4,Advanced,56.17,Intermediate
34.66,Intermediate,19.03,Beginner,91.23,Advanced,63.46,Advanced,53.21,Intermediate,84.08,Advanced
17.86,Beginner,89.85,Advanced,13.09,Beginner,68.61,Advanced,56.41,Intermediate,57.93,Advanced
27.41,Beginner,28.17,Beginner,24.89,Beginner,15.98,Beginner,12.94,Beginner,25.53,Beginner
92.08,Advanced,36.64,Intermediate,50.57,Intermediate,82.04,Advanced,29.88,Beginner,12.69,Intermediate
76.46,Advanced,100,Advanced,62.24,Advanced,92.07,Advanced,59.02,Advanced,23,Beginner
21.83,Beginner,100,Advanced,38.91,Intermediate,38.3,Intermediate,41.17,Intermediate,50.82,Intermediate
62.39,Advanced,88.89,Advanced,34.67,Intermediate,42.27,Intermediate,72.34,Advanced,24.72,Beginner
29.77,Beginner,28.18,Beginner,67.97,Advanced,3.35,Beginner,44.56,Intermediate,59.52,Intermediate
74.45,Advanced,21.28,Beginner,3.47,Beginner,66.64,Advanced,83.12,Advanced,5.9,Beginner
51.8,Intermediate,41.06,Intermediate,51.76,Intermediate,82.49,Advanced,43.58,Intermediate,61.06,Advanced
58.32,Intermediate,24.22,Beginner,32.3,Intermediate,88.46,Advanced,48.56,Intermediate,49.24,Intermediate
25.85,Beginner,71,Advanced,36.91,Intermediate,43.5,Intermediate,63.6,Advanced,55.58,Intermediate
32.95,Intermediate,14.3,Beginner,63.69,Advanced,0,Beginner,55.01,Intermediate,15.75,Beginner
67.72,Advanced,91.25,Advanced,88.21,Beginner,56.04,Intermediate,77.31,Advanced,51.93,Intermediate
64.03,Advanced,58.07,Intermediate,11.98,Beginner,57.65,Intermediate,27.98,Beginner,55.99,Intermediate
46.01,Intermediate,55.73,Intermediate,61.4,Advanced,55.73,Intermediate,66.2,Advanced,86.7,Advanced
11.9,Beginner,17.34,Beginner,15.4,Beginner,40.85,Intermediate,1.56,Beginner,97.95,Beginner
13.84,Beginner,10.23,Beginner,59.13,Intermediate,18.38,Beginner,63.2,Advanced,57.13,Intermediate
69.17,Advanced,12.65,Beginner,58.87,Intermediate,41.87,Intermediate,4.58,Beginner,50.48,Intermediate
19.35,Beginner,8.94,Advanced,52.81,Intermediate,90.21,Advanced,72.4,Advanced,77.43,Advanced
84.55,Advanced,4.42,Beginner,37.72,Intermediate,50.66,Intermediate,58.6,Intermediate,100,Advanced
51.57,Intermediate,42.95,Intermediate,74.9,Advanced,13.93,Beginner,15.57,Beginner,68.6,Advanced
87.31,Advanced,26.94,Beginner,13.37,Beginner,48.97,Intermediate,30.93,Intermediate,25.13,Beginner
87.61,Advanced,30.87,Intermediate,56.75,Intermediate,86.49,Advanced,73.29,Advanced,13.62,Beginner
38.54,Intermediate,20.07,Beginner,42.49,Intermediate,15.39,Beginner,15.89,Beginner,73.01,Advanced
9.48,Beginner,53.57,Intermediate,88.44,Advanced,40.08,Intermediate,35.07,Intermediate,12.3,Beginner
53.93,Intermediate,65.02,Advanced,27.47,Beginner,46.97,Beginner,67.56,Advanced,70.79,Advanced
15.72,Beginner,11.99,Beginner,95.3,Advanced,10.75,Beginner,44.71,Intermediate,36.36,Intermediate
54.29,Intermediate,52.44,Intermediate,54.16,Intermediate,64.7,Advanced,13.26,Beginner,23.57,Beginner
12.33,Beginner,100,Advanced,20.69,Beginner,57.75,Intermediate,78.92,Advanced,75.14,Advanced
68.94,Advanced,24.07,Beginner,25.13,Beginner,42.08,Intermediate,59.48,Intermediate,28.77,Beginner
26.93,Intermediate,70.29,Advanced,60.38,Advanced,69.55,Advanced,96.8,Advanced,7.36,Beginner
39.19,Intermediate,84.1,Advanced,84.05,Advanced,44.91,Intermediate,30.26,Intermediate,25.07,Beginner
38.31,Beginner,9.65,Beginner,14.46,Beginner,66.19,Advanced,34.26,Intermediate,21.89,Intermediate
19.59,Beginner,26.7,Beginner,68.12,Advanced,74.25,Advanced,58.51,Intermediate,60.34,Advanced
17.3,Beginner,18.03,Beginner,52.95,Intermediate,20.29,Beginner,54.11,Intermediate,93.06,Intermediate
58.5,Intermediate,20.64,Beginner,61.36,Advanced,84.93,Advanced,36.53,Intermediate,50.85,Intermediate
7.5,Beginner,77.66,Advanced,33.09,Intermediate,6.39,Beginner,25.57,Advanced,62.06,Advanced
65.26,Advanced,23.95,Beginner,11.63,Beginner,27.48,Intermediate,38.32,Intermediate,65.58,Advanced
46.66,Intermediate,24.13,Beginner,26.95,Beginner,60.96,Advanced,59.7,Intermediate,26.95,Beginner
51.86,Intermediate,63.57,Advanced,78.03,Advanced,42.6,Intermediate,60.35,Advanced,62.43,Advanced
79.53,Advanced,25.41,Beginner,77.29,Advanced,51.21,Intermediate,62.5,Advanced,91.82,Advanced
21.32,Beginner,24.47,Beginner,30.76,Intermediate,38.9,Intermediate,26.56,Beginner,56.55,Intermediate
19.11,Beginner,85.24,Intermediate,56.81,Intermediate,33.98,Intermediate,25.48,Beginner,79.03,Advanced
27.95,Beginner,37.26,Intermediate,37.01,Intermediate,36.96,Intermediate,20.41,Beginner,35.64,Advanced
82.76,Advanced,36.99,Intermediate,100,Advanced,32.77,Intermediate,60.17,Advanced,26.99,Intermediate
67.8,Intermediate,2.19,Beginner,17.11,Beginner,30.1,Intermediate,26.54,Beginner,85.32,Advanced
92.6,Advanced,37.01,Intermediate,82.05,Intermediate,10.4,Beginner,49.62,Intermediate,41.51,Beginner
77.82,Advanced,33.47,Intermediate,91.74,Advanced,88.54,Advanced,10.03,Beginner,31.37,Intermediate
86.56,Advanced,15.56,Beginner,44.77,Intermediate,66.83,Advanced,57.34,Intermediate,9.69,Beginner
45.95,Intermediate,24.68,Beginner,40.24,Intermediate,83.05,Advanced,59.35,Intermediate,68.73,Advanced
33.64,Intermediate,18.67,Beginner,47.24,Intermediate,67.48,Advanced,26.81,Beginner,71,Advanced
12.4,Beginner,58.49,Intermediate,41.51,Intermediate,12.94,Beginner,17.15,Beginner,81.87,Advanced
57.66,Intermediate,32.97,Intermediate,28.96,Beginner,22.55,Beginner,86.91,Advanced,77.22,Advanced
93.04,Advanced,24.81,Beginner,97.01,Advanced,55.43,Intermediate,52.64,Intermediate,57.96,Intermediate
66.48,Advanced,11.51,Beginner,55.25,Intermediate,9.34,Beginner,77.18,Advanced,47.16,Intermediate
16.6,Beginner,83.69,Advanced,24.71,Beginner,70.37,Advanced,19.15,Beginner,48.87,Intermediate
25.09,Beginner,53.23,Intermediate,3.86,Beginner,66.55,Advanced,23.29,Beginner,52.55,Intermediate
59.13,Intermediate,15.63,Beginner,37.96,Intermediate,82.46,Advanced,31.43,Intermediate,9.57,Beginner
22.55,Beginner,22.46,Beginner,61.4,Advanced,50.61,Intermediate,12.87,Beginner,40.89,Intermediate
79.16,Advanced,86.8,Advanced,75.71,Advanced,45.07,Intermediate,23.48,Advanced,100,Advanced
6.85,Beginner,11.81,Beginner,34.25,Intermediate,30.12,Intermediate,52.73,Intermediate,73.01,Advanced
58.27,Intermediate,56.66,Intermediate,23.03,Beginner,90.07,Advanced,15.02,Intermediate,24.01,Advanced
3.94,Beginner,40.58,Intermediate,85.48,Advanced,31.22,Intermediate,20.33,Beginner,25.98,Beginner
53.33,Intermediate,8.48,Beginner,61.28,Advanced,34.77,Beginner,31.91,Intermediate,68.84,Advanced
88.74,Advanced,63.63,Advanced,33.16,Intermediate,8.78,Beginner,19.87,Beginner,22.47,Beginner
90.36,Advanced,93.45,Advanced,7.72,Beginner,18.21,Beginner,100,Advanced,46.16,Intermediate
10.1,Beginner,59.87,Intermediate,92.13,Advanced,21.87,Beginner,69.44,Advanced,34.46,Intermediate
23.27,Beginner,55.67,Intermediate,65.79,Advanced,63.73,Advanced,56.65,Intermediate,67.4,Advanced
85.49,Advanced,36.73,Intermediate,35.68,Intermediate,0,Beginner,45.11,Intermediate,56.42,Intermediate
18.77,Beginner,70.63,Advanced,30.66,Intermediate,1.93,Advanced,76.74,Advanced,46.3,Intermediate
86.94,Advanced,28.68,Beginner,20.92,Beginner,45.93,Intermediate,47.4,Intermediate,99.4,Advanced
65.89,Advanced,40.15,Intermediate,44.81,Intermediate,68.96,Advanced,34.23,Intermediate,35.96,Intermediate
65.44,Advanced,63.56,Advanced,53.78,Intermediate,100,Advanced,71.31,Intermediate,95.55,Advanced
30.7,Intermediate,64.27,Advanced,46.71,Intermediate,72.29,Advanced,58.09,Intermediate,77.55,Advanced
52.61,Intermediate,55.83,Intermediate,89.66,Advanced,41.01,Intermediate,92.49,Advanced,14.21,Beginner
44.28,Intermediate,51,Intermediate,43.29,Intermediate,40.58,Beginner,87.3,Advanced,15.91,Beginner
65.61,Advanced,67.2,Advanced,30.17,Intermediate,72.2,Advanced,35.65,Intermediate,45.42,Intermediate
72.99,Advanced,88.82,Advanced,59.49,Intermediate,39.11,Intermediate,100,Advanced,81.84,Advanced
9.35,Beginner,27.53,Beginner,27.56,Beginner,27.26,Beginner,11.87,Beginner,15.31,Beginner
28.1,Beginner,86.22,Advanced,60.83,Advanced,17.67,Advanced,16.16,Beginner,20.74,Beginner
59.26,Intermediate,40.96,Intermediate,53.07,Intermediate,35.81,Intermediate,47.77,Intermediate,39.36,Intermediate
30.63,Intermediate,54.52,Intermediate,34.82,Intermediate,0,Beginner,71.5,Advanced,49.17,Intermediate
57.48,Intermediate,49.85,Intermediate,60.48,Advanced,52.97,Intermediate,55.75,Intermediate,44.77,Intermediate
93.07,Advanced,13.19,Beginner,11.94,Beginner,75.36,Advanced,45.19,Intermediate,10.93,Beginner
48.93,Intermediate,29.16,Beginner,25.24,Beginner,16.56,Beginner,68.63,Advanced,96.39,Advanced
36.19,Intermediate,46.94,Intermediate,71.31,Advanced,64.77,Advanced,33.54,Intermediate,32.06,Intermediate
58.42,Intermediate,57.25,Intermediate,26.17,Beginner,31.15,Intermediate,98.24,Advanced,86.62,Advanced
50.15,Beginner,98.47,Advanced,73.25,Advanced,82.89,Advanced,57.94,Intermediate,66.91,Advanced
10.46,Beginner,63.83,Advanced,71.1,Advanced,42.32,Intermediate,79.37,Advanced,20,Beginner
91.19,Advanced,85.24,Advanced,99.57,Advanced,56.27,Intermediate,48.06,Intermediate,24.4,Beginner
47.16,Intermediate,56.13,Intermediate,55.85,Advanced,58.2,Intermediate,90.33,Advanced,20.47,Beginner
30.1,Intermediate,33.39,Intermediate,91.04,Advanced,70.42,Advanced,81.16,Beginner,58.3,Intermediate
78.18,Advanced,38.31,Intermediate,43.33,Intermediate,87.96,Advanced,8.85,Beginner,74.14,Advanced
93.53,Beginner,83.55,Advanced,9.34,Beginner,67.36,Advanced,11.81,Beginner,74.61,Advanced
52.62,Intermediate,36.09,Intermediate,64.99,Advanced,96.47,Advanced,80.18,Advanced,9.09,Beginner
84.43,Advanced,81.36,Advanced,65.87,Advanced,68.63,Advanced,23.32,Beginner,51.56,Intermediate
28.34,Advanced,27.83,Beginner,75.4,Advanced,12.46,Beginner,56.7,Intermediate,78.5,Advanced
44.67,Intermediate,73.56,Advanced,33.69,Intermediate,6.86,Beginner,78.27,Advanced,25.95,Beginner
66.48,Advanced,61.76,Advanced,71.3,Advanced,35.35,Intermediate,41.07,Intermediate,37.57,Intermediate
86.34,Advanced,55.31,Intermediate,3,Beginner,21.23,Beginner,35.2,Intermediate,29.52,Beginner
17.55,Beginner,71.18,Advanced,7.45,Beginner,89.91,Advanced,34.49,Intermediate,7.63,Beginner
63.24,Advanced,42.87,Intermediate,32.29,Intermediate,57.65,Intermediate,21.64,Beginner,87.16,Advanced
45.06,Intermediate,79.56,Advanced,16.69,Beginner,57.41,Intermediate,43.59,Advanced,54.9,Intermediate
54.04,Intermediate,52.74,Intermediate,60.71,Advanced,5.63,Beginner,77.45,Advanced,93.08,Advanced
20.97,Beginner,13.79,Beginner,59.26,Intermediate,23.24,Beginner,34.84,Intermediate,30.83,Intermediate
42.98,Intermediate,14.31,Beginner,25.04,Beginner,79.81,Advanced,35.28,Intermediate,17.44,Beginner
63.02,Beginner,34.25,Intermediate,71.9,Advanced,86.22,Advanced,25.86,Beginner,93.07,Advanced
96.64,Advanced,0.6,Beginner,61.44,Advanced,97.65,Intermediate,77.64,Advanced,72.72,Advanced
67.25,Advanced,68.51,Advanced,17.35,Beginner,53.36,Intermediate,50.26,Intermediate,63.59,Advanced
44.43,Intermediate,3.89,Beginner,83.56,Advanced,23.35,Beginner,84.02,Advanced,9.4,Beginner
58.31,Intermediate,22.54,Beginner,30.82,Intermediate,79.42,Advanced,58.22,Intermediate,51.85,Intermediate
17.95,Advanced,22.59,Beginner,87.15,Advanced,44.14,Intermediate,31.45,Intermediate,93.84,Advanced
93.58,Intermediate,54.33,Intermediate,51.52,Intermediate,24.35,Beginner,56.17,Intermediate,86.11,Advanced
53.21,Intermediate,64.64,Advanced,11.64,Beginner,38.03,Intermediate,17.89,Beginner,38.45,Intermediate
8.76,Beginner,20.07,Beginner,16.7,Beginner,41.81,Intermediate,57.74,Intermediate,15.1,Beginner
65.33,Advanced,39.38,Intermediate,57.65,Intermediate,15.55,Beginner,9.36,Beginner,12.33,Beginner
24.1,Beginner,97.31,Advanced,49.16,Intermediate,22.33,Beginner,40.48,Intermediate,41.22,Intermediate
85.84,Advanced,95.1,Advanced,56.86,Intermediate,23.77,Beginner,18.31,Beginner,49.55,Intermediate
72.99,Advanced,66.32,Advanced,15.84,Beginner,27.88,Advanced,73.19,Advanced,14.41,Beginner
90.5,Intermediate,12.83,Beginner,84.94,Advanced,47.66,Intermediate,100,Advanced,60.25,Advanced
47.27,Intermediate,60.29,Advanced,55.38,Intermediate,24.2,Beginner,7.19,Intermediate,6.71,Beginner
63.1,Advanced,63.11,Advanced,99.51,Advanced,45.72,Intermediate,32.91,Intermediate,66.85,Advanced
21.21,Beginner,0,Beginner,42.04,Intermediate,23.48,Beginner,1.59,Beginner,63.4,Advanced
18.02,Beginner,69.41,Advanced,28.66,Beginner,20.9,Beginner,20.57,Beginner,73.49,Beginner
28.02,Beginner,64.74,Advanced,80.03,Advanced,78.99,Advanced,50.89,Intermediate,55.69,Intermediate
50.13,Intermediate,97.95,Advanced,5.66,Beginner,39.92,Intermediate,81.56,Advanced,29.85,Beginner
64.6,Advanced,60.52,Advanced,72.12,Advanced,29.35,Beginner,81.44,Advanced,70.59,Advanced
55.03,Intermediate,17.9,Beginner,78.61,Advanced,32.16,Intermediate,72.64,Advanced,41.64,Intermediate
28.08,Beginner,20.69,Intermediate,44.02,Beginner,21.41,Beginner,84.43,Advanced,74.84,Advanced
14.63,Beginner,8.85,Beginner,7.16,Beginner,6.56,Beginner,55.5,Intermediate,3.32,Beginner
23.73,Beginner,54.29,Intermediate,57.68,Intermediate,8.45,Beginner,37.01,Intermediate,13.61,Beginner
16.06,Beginner,22.18,Beginner,56.95,Intermediate,42.78,Intermediate,27.95,Beginner,13.1,Beginner
52.78,Intermediate,29.37,Beginner,10.27,Beginner,28.74,Beginner,67.54,Advanced,55.84,Intermediate
9.96,Beginner,2.47,Beginner,76.12,Advanced,59.18,Intermediate,58.86,Intermediate,27.06,Beginner
50.42,Intermediate,23.69,Beginner,19.29,Beginner,33.73,Intermediate,28.36,Beginner,9.44,Beginner
99.26,Advanced,76.67,Advanced,100,Advanced,12.87,Beginner,91.08,Advanced,50.73,Intermediate
15.92,Intermediate,52.31,Intermediate,63.48,Advanced,65.39,Advanced,87.17,Advanced,84.07,Advanced
69.99,Advanced,53.55,Intermediate,29.32,Beginner,27.96,Beginner,94.74,Advanced,75.85,Advanced
61.98,Advanced,65.68,Intermediate,85.66,Advanced,57.18,Intermediate,19.68,Beginner,55.19,Intermediate
82.52,Advanced,42.82,Intermediate,44.66,Intermediate,7.18,Beginner,38.06,Intermediate,55.34,Intermediate
52.76,Intermediate,18.07,Beginner,76.94,Advanced,52.22,Intermediate,27.95,Beginner,61.21,Advanced
41.27,Intermediate,8.76,Beginner,46.94,Intermediate,28.75,Beginner,28.27,Beginner,61.67,Advanced
1.37,Beginner,52.58,Intermediate,76.83,Advanced,31.47,Intermediate,24.14,Beginner,32.96,Intermediate
5.38,Beginner,52.72,Intermediate,61.35,Advanced,32.98,Intermediate,28.26,Beginner,78.98,Advanced
35.17,Intermediate,9.32,Beginner,16.99,Intermediate,48.68,Intermediate,22.75,Beginner,8.94,Beginner
57.41,Intermediate,50.5,Beginner,62.48,Advanced,68.82,Beginner,52.84,Advanced,15.56,Beginner
77.53,Advanced,45.82,Intermediate,55.46,Intermediate,15.98,Beginner,72.61,Advanced,86.19,Advanced
23.74,Beginner,12.75,Beginner,23.05,Beginner,25.34,Beginner,63.98,Advanced,0,Beginner
97.55,Advanced,90.63,Advanced,45.51,Intermediate,5.11,Beginner,65,Advanced,56.5,Intermediate
